"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "JavaScript JSX", "PostCSS", "HTML", "TypeScript", "comment", "blank", "total"
"/home/kunwar/lead-dashboard/backend/package-lock.json", "JSON", 1462, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1463
"/home/kunwar/lead-dashboard/backend/package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/kunwar/lead-dashboard/backend/prisma.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 2, 3, 17
"/home/kunwar/lead-dashboard/backend/src/middleware/auth.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"/home/kunwar/lead-dashboard/backend/src/prismaClient.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/home/kunwar/lead-dashboard/backend/src/routes/auth.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 8, 13, 79
"/home/kunwar/lead-dashboard/backend/src/routes/ingest.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 7, 12, 75
"/home/kunwar/lead-dashboard/backend/src/routes/leads.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 6, 7, 101
"/home/kunwar/lead-dashboard/backend/src/routes/users.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 4, 5, 75
"/home/kunwar/lead-dashboard/backend/src/server.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 3, 7, 31
"/home/kunwar/lead-dashboard/backend/src/services/intentTagger.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 4, 9, 49
"/home/kunwar/lead-dashboard/backend/src/services/messageClassifier.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 6, 35
"/home/kunwar/lead-dashboard/backend/src/services/normalizer.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 11, 11, 78
"/home/kunwar/lead-dashboard/frontend/README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"/home/kunwar/lead-dashboard/frontend/eslint.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/home/kunwar/lead-dashboard/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/home/kunwar/lead-dashboard/frontend/package-lock.json", "JSON", 2837, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2838
"/home/kunwar/lead-dashboard/frontend/package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/home/kunwar/lead-dashboard/frontend/public/favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kunwar/lead-dashboard/frontend/public/icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"/home/kunwar/lead-dashboard/frontend/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 158, 0, 0, 0, 27, 185
"/home/kunwar/lead-dashboard/frontend/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"/home/kunwar/lead-dashboard/frontend/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/kunwar/lead-dashboard/frontend/src/assets/vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/kunwar/lead-dashboard/frontend/src/components/ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/kunwar/lead-dashboard/frontend/src/components/Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 198, 0, 0, 0, 5, 11, 214
"/home/kunwar/lead-dashboard/frontend/src/context/AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"/home/kunwar/lead-dashboard/frontend/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/kunwar/lead-dashboard/frontend/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/home/kunwar/lead-dashboard/frontend/src/pages/DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 239, 0, 0, 0, 12, 30, 281
"/home/kunwar/lead-dashboard/frontend/src/pages/LeadDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 311, 0, 0, 0, 10, 29, 350
"/home/kunwar/lead-dashboard/frontend/src/pages/LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 6, 12, 157
"/home/kunwar/lead-dashboard/frontend/src/pages/UsersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 300, 0, 0, 0, 9, 24, 333
"/home/kunwar/lead-dashboard/frontend/src/services/api.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"/home/kunwar/lead-dashboard/frontend/vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 4355, 9, 482, 27, 1272, 159, 13, 12, 89, 249, 6667
